id,linkid,
3621,126,I70795da1fb5144d1c91059f6200b74b5fd33de22
3950,31290,
4460,112,ba8d4f460b51161eb82cf1006cb34a3cc1389f47
4766,145960,
5045,141751,
5275,144258,
5867,145229,
6157,143750,
6234,142373,
6241,144530,
6671,127452,
7541,137832,
7932,127930,
8018,141072,
8712,137970,
8951,134852,
9291,125681,
9986,130670,
10881,120430,
11530,122510,
11552,121980,
11807,123488,
11808,121940,
12318,120534,
12424,122077,
12551,121587,
13272,116412,
13349,117322,
13490,119308,
14001,113361,
14674,114831,
15183,115476,
15438,97863,
15455,115054,
15584,107238,
16156,101032,
17093,111697,
17489,109690,
18081,109452,
18210,91465,
18272,93401,
18641,106955,
19527,105921,
19629,102164,
19666,102872,
20016,131,Ibaf88d02505d86994d7845cf0075be5041cc8438
20745,103773,
21341,95391,
21456,48011,
21544,102174,
21956,99080,
22096,100354,
22421,100131,
22741,98428,
23547,66146,
23698,88551,
23767,97580,
24091,96880,
24577,96264,
25584,94522,
26144,67014,
26981,114,d318ba66f90272b618e035e996e0a04f02b4481d
27636,79791,
27839,88075,
28256,88146,
28589,122,I33476236c493f9749a3da068afd83d9f279409a9
28619,70141,
28737,87789,
28969,82582,
29222,85473,
29312,80334,
29313,80332,
29360,82137,
29976,45790,
30040,67910,
30080,80450,
30597,36940,
30599,81902,
30632,68326,
30893,81101,
31878,78844,
32113,73156,
52092,147002,
34161,68495,
34169,68973,
34415,67967,
36165,62246,
36906,61029,
37393,34422,
37829,57902,
38412,55151,
38927,32647,
39051,53353,
39241,51831,
39684,51329,
39699,31979,
39947,49909,
40274,49508,
40340,49275,
40383,46828,
40442,34510,
40514,34491,
40783,47482,
41196,22100,
41940,44082,
42217,43165,
42221,42227,
42554,32762,
42793,119,I166ffc267e8e0543732e711
43244,40199,
43267,40621,
43482,40021,
43484,39879,
43988,36053,
44016,37824,
44925,31422,
52079,146507,
52277,121830,
52320,89540,
52328,144301,
52419,143680,
52624,102078,
52626,133,Id5e43d38a3801b1d9e22f439d7e9c863c198e764
52759,107,7299516c52e31fa82d0689a144999f5c0725ecbd
52803,98889,
52887,60370,
53304,117664,
53343,106,40dce38393983b4fb579daf0b7a5c9c2cb9a625e
53463,119673,
53523,114282,
53577,116344,
53598,116493,
53643,107261,
53651,102657,
53672,116590,
53676,107300,
53677,117112,
53730,102242,
53737,115860,
53774,115476,
53821,114831,
53825,109065,
53878,108,7670b2bd49915509dac72c98f2b6a2c1172c52bf
53904,113737,
53983,103243,
53993,101,01b765e872b36ecc2e52569326be00105f52544c
54041,107658,
54064,111811,
54160,100900,
54194,109637,
54213,108530,
54382,106149,
54458,107223,
54499,102872,
54730,80233,
54735,98605,
54779,102005,
54784,102233,
54840,96340,
54858,101022,
54947,100282,
54949,98433,
54971,73870,
55040,80526,
55080,97237,
55081,96064,
55299,95313,
55316,92427,
55353,93842,
55412,93650,
55420,91708,
55474,91349,
55485,90198,
55756,48101,
55826,48054,
55981,90110,
56001,89122,
56078,88864,
56093,88535,
56129,87921,
56134,87912,
56150,105,336eb742942e368ba93207eef48d6308a49220a4
56151,102,0d7892920bf7061cca287e0d7b5a23e344d5adfb
56183,86582,
56185,86581,
56203,84066,
56223,83966,
56239,84148,
56264,83832,
56316,82336,
56415,36730,
56425,80146,
56443,130,I9989d4bfebb0f9c409a0ce7e87169299eac605a2
56466,81105,
56475,127,I7a031a940a28658b3bf34bebac93dfb3ba397b05
56506,80489,
56535,49811,
56583,79168,
56587,121,I24373fa0308ec700011ed19b1ce29a491d1feff3
56723,68895,
56734,66030,
56754,63560,
56806,58270,
56815,73305,
56877,72111,
56913,69649,
56938,49660,
57018,69988,
57023,69350,
57101,37031,
57127,57362,
57342,64678,
57419,57752,
57483,63112,
57629,61650,
57630,60460,
57640,132,Icb0f58985ee2b283c563ebc8513cebfcc7a3f871
57754,60341,
57920,59361,
57954,128,I7ae9088c326a2140e56a8044bfb21a91505aea11
58080,55151,
58172,104,267aa8b00eadf273321e492026af74b7baad890e
58177,42933,
58287,32007,
58302,51420,
58424,42091,
58444,47182,
58462,134,Ie011cbf74a08f760ccd93ca37fa2b437b7063462
58465,48105,
58509,47172,
58536,31970,
58590,46100,
58695,10622,
58713,40100,
58726,37644,
58727,32024,
58741,41067,
58791,40987,
58792,38962,
58834,42291,
58969,40579,
58972,16371,
58988,39982,
59562,36240,
59647,36585,
59684,33943,
60257,34960,
60390,15586,
60534,115,d61484cb62e1d681bd515376ffb0a7fd86de1d3b
60561,35120,
60589,34305,
60605,117,I0539c412604836debfbe3986a6fc7f7be15f7e89
60634,33422,
60692,20832,
61135,118,I0b16ee52add11b8394ede920d9a0af45fee0db8d
62284,116,ebcc51d39c340f6fdafa828bb0fe715ffaa8658d
62411,144164,
62437,123,I47c0016f594f9354fb8658ccb26e3d395bcb137b
62869,109,78efae658d01b1197eb41ed9129ce383c77cde38
62882,110,78efae658d01b1197eb41ed9129ce383c77cde38
62970,111,78efae658d01b1197eb41ed9129ce383c77cde38
63019,11639,
63074,11493,
63075,11493,
63610,1411,
80181,141084,
245771,94927,
341691,67945,
404421,35000,
536511,84341,
538781,87765,
550811,96063,
