Id,Title,Message,Time,Time_diff
1,Add test-only proguard files. They can be used to suppress warnings.,"Add test-only proguard files. They can be used to suppress warnings.

Bug: http://b.android.com/143583
Bug: http://b.android.com/77475
Bug: http://b.android.com/159831
Change-Id: I3de7777433e1d9b999ded11f066edce1a9ac5d4d",2015/3/4 17:00,0
2,Use NULL instead of 0 when invoking CallStaticVoidMethod,"Use NULL instead of 0 when invoking CallStaticVoidMethod

static void CallStaticVoidMethod is variable argument function.
if pass 0 to the function like: CallStaticVoidMethod(......, 0),
0 will be treated as INT data type.but in the CallStaticVoidMethod
implement 0 will be treated as pointer data type.Pointer in 64bit
system occupied 8 bytes, but in 64bit system int occupied 4 bytes.
if call function like: CallStaticVoidMethod(......, 0),
only low 4 bytes will be assigned 0.Turned out it actually call
function like this: CallStaticVoidMethod(......, 0xXXXXXXXX00000000).
intent to pass NULL to function but passed non-NULL parameter to
the function.this will cause GCDaemon crash.

Change-Id: I9d700d3790a80dbee6826f64baf9ef5d81ca390f
Reviewed-by: Liao, Bruce <bruce.liao@intel.com>
Signed-off-by: Yong Yao <yong.yao@intel.com>
",2015/1/6 7:31,0
3,"Fix IntelliJ dependencies, to fix ""Make project"".","Fix IntelliJ dependencies, to fix ""Make project"".

Change-Id: I19807e3af36ecd079427218f19533651e0473e1a
",2014/12/16 8:55,0
4,Fix printf flag for st_mtime on MIPS.,"Fix printf flag for st_mtime on MIPS.

Build fix.

Change-Id: I73b3c4e1b026a40a569874b4583f9b09aa7fd833
",2014/11/8 20:15,0
5,disable trace_dev for arm/mips.,"disable trace_dev for arm/mips.

as trace was removed from Makefile.target in 4c3a1e1196503,
this patch disables the invocation part, which breaks android-rebuild.sh

Change-Id: I9638bc8cb9735554627d0098df91b829ac04c4f4
Signed-off-by: Jason Hu <jia-cheng.hu@intel.com>
",2014/7/4 9:20,0
6,CatService: OPEN_CHANNEL p-cmd to send event confirmation and not T.R,"CatService: OPEN_CHANNEL p-cmd to send event confirmation and not T.R

Upon handling OPEN_CHANNEL command, send User confirmation instead of
terminal response as lower layers expect confirmation information.
CRs-Fixed: 390425

Change-Id: Ie9e162d87bae18c011edede238ded7eee65f8766
",2012/12/14 18:33,0
7,Add workarounds for apparent clang bugs,"Add workarounds for apparent clang bugs

For reasons yet to be debugged, clang 3.4 can't resolve
Arena::kDefaultSize and kIndexUnresolved in the 2 locations.

The workaround is to copy in their values instead.
This should be reverted once clang is fixed (or an
issue in the code legitimately blocking clang from
seeing the symbols has been found and fixed).

Change-Id: Ic392de1829a44215299aee78dfe26378b0b3bef4
Signed-off-by: Bernhard Rosenkränzer <Bernhard.Rosenkranzer@linaro.org>
",2013/12/12 1:25,0
8,Don't depend on frameworks/base from OkHttp.,"Don't depend on frameworks/base from OkHttp.

Change-Id: I096292b554dbc4a5c72a8fd60baef85b25409501
",2013/4/3 0:16,0
9,Update ddmlib prebuilt.,"Update ddmlib prebuilt.

Corresponds to tools/base 477b178c356229304b3d50f5f7c33d98c8a30e11
with change id Ie120f978e5c5646e086ec999c9ef5027b724cc7a

Change-Id: I1e328b0134bb9cbe18cda6e21cd07b282ef6cf5c
",2013/2/8 17:02,0
10,Fix potential NPE during layout XML completion,"Fix potential NPE during layout XML completion

Change-Id: Iaf9b29b153c688638b65aa16338dd105c2c55309
",2012/4/20 3:40,0
