Id,Title,Message,Time,Time_diff
1,Use constraints for api-ref environment,"Use constraints for api-ref environment

Change [1] updated tox.ini to use constraints rather than
specific, non-constrained install commands but neglected
to update the api-ref environment.  In addition to fixing
that omission we also remove a bit of ugly trailing
whitespace.

Co-authored-By: Gorka Eguileor <geguileo@redhat.com>

[1] I879f34129c0d958be0a73bfdc7f641e178d4efe9

Change-Id: I58ec756cd3de2e501c77a4d947e680d0959d22ec
",08/23/2016 17:34:20,1
2,WIP fix pci resize/migration,"WIP fix pci resize/migration

Change-Id: Ie8690f2b7235d677ebe15fabaae81b0a6bda29de
",04/18/2016 11:48:45,433
3,Fallback to 'root' if provided  user doesn't work,"Fallback to 'root' if provided  user doesn't work

In SSH manager try to use 'root' while connecting to
slave nodes if authentication fails with login provided
in settings.

Change-Id: I647add5c67c51c26f710a3a0e92b0498478a90f9
Closes-bug: #1580199
",05/10/2016 16:09:56,25
4,Support local_id configuration,"Support local_id configuration

In some case, we want to specify the local id instead of use the
external ip. For example, the router is behind NAT, and we don't
want to expose this IP to peer. This patch will make local_id
configurable. But if local id is not configured then external ip
will still be used as the leftid.

Note: this change is DocImpact & APIImpact

Change-Id: I2433d72ba22ce410cbfafb7b8bfb16f51eefdfc1
Closes-Bug: bug/1513353
",04/28/2016 06:30:59,294
5,Bump firewall modeul to 1.8.0,"Bump firewall modeul to 1.8.0

To remove some execs we need to have 'checksum_fill' functionality.
Unfortunately it was not able to do in 1.2.0. This patch bumps a version
to 1.8.0 to enable the functionality we need.

Change-Id: Ia06981f338b3e1797004e2c5c5b3e52e08f00124
",04/07/2016 15:39:55,13
6,glance_http: add IPv6 support,"glance_http: add IPv6 support

The code is stolen from python-glanceclient.
It helps to add IPv6 support when openning a socket to Glance server.

Closes-Bug: #1557814
Change-Id: Ice966f78f94196ba31e64939df4173a67943aa43
",03/16/2016 01:41:44,281
7,Add support for ubuntu xenial,"Add support for ubuntu xenial

Change-Id: If3693594c2b02c28e47302158e1303176d282a5d
Signed-off-by: Paul Belanger <pabelanger@redhat.com>
",03/26/2016 17:48:38,48
8,honor the rabbit user and password provided,"honor the rabbit user and password provided

Currently rabbit username and password are defaulted and attempting
to use anything else would result in a failure during deployment.

Change-Id: I8a2e240a19f915309eee45ea3c3368d131af6c1b
(cherry picked from commit cd9264d8d13fe0d460cb0497e554c0028e4c9eee)
Related:  rhbz#1261303",11/10/2015 18:08:16,95
9,WIP: Random resource names all follow set pattern,"WIP: Random resource names all follow set pattern

This will make it easier to do out-of-band cleanup of Rally-created
resources. It eliminates the ability for scenarios to specify a custom
random name length, ensures that the random name prefix always starts
with ""rally_"", and includes a random part that consists of four
hyphen-delimited sets of four random characters.

This also deprecates the Scenario._generate_random_name() function;
all random names will be generated according to the same format to
limit the likelihood of leaking misnamed resources.

Change-Id: I189474fbb185ab402e3b248421b4188b7ccde7f4
",05/21/2015 22:36:09,167
10,"Ipset / Iptables refactor, for rebasing or followup (WIP)","Ipset / Iptables refactor, for rebasing or followup (WIP)

Change-Id: I93000a37a71cd22753b32edbd0a5f3c9cb8b0bde
",09/11/2014 15:07:18,241
11,Don't update arch twice when create server,"Don't update arch twice when create server

During the instance creation a dictionary of instance characteristics (base_options) is created in nova.compute.api._create_instance where
""architecture"" is defined looking into image[properties]. Then ""architecture"" entry is updated to the same value in nova.compute.api._populate_instance_for_create if defined or it removes the 'Unknown' value for this key.

This patch removes the unnecessary ""architecture"" update.

Change-Id: Id76dedef8fc96dcd6fa5b72ace6c50c85e04215b
",11/21/2012 12:03:46,6
