id,linkid,,,
268,Iebc64c21f4dd6f4876989e57d3a347b96e1bd449,,,
1865,109063,,,
1999,110844,,,
2093,a90bb5b89a09490a1795064133f6d8ce33b6874e,,,
2233,106473,,,
2379,110388,,,
2445,b6de2d1bd813055f77e6f43cfda9ff609d7b845d,,,
2715,109897,,,
2734,94807,,,
2987,7aad6b9fd426e05fdfb3892d60432a45e4079887,,,
3007,94838,,,
3013,108974,,,
3192,106328,,,
3269,105744,,,
3434,108633,,,
3543,108470,,,
3558,92042,,,
3600,108912,,,
3818,54652,,,
3906,108583,,,
3922,107229,,,
3980,107669,,,
4182,106855,,,
4479,105667,,,
4636,107456,,,
5173,105983,,,
5174,106108,,,
5184,106745,,,
5215,101547,,,
5227,106731,,,
5980,104705,,,
5983,104705,,,
6116,105554,,,
6295,103852,,,
6316,4d3d0e02903e28388937cb602b6e2255feef0385,,,
6952,104602,,,
6967,65874,,,
7371,4c980aedc17c1da8f7160989fbb845ea72b36f44,,,
7747,103614,,,
8064,103100,,,
8152,99790,,,
8355,97060,,,
8421,96156,,,
8430,102571,,,
9235,99433,,,
9381,98190,,,
9514,98239,,,
9765,100819,,,
9828,100583,,,
9891,100537,,,
9991,9afb02412eadc567e82a0aca10c6401937d213e9,,,
10725,99141,,,
10776,99195,,,
10829,99306,,,
10889,88719,,,
11260,98476,,,
11281,97105,,,
11319,74ce5fff5248b3cfcd915728c87948280b7fe0a6,,,
11321,96338,,,
11551,91560,,,
11555,98433,,,
11581,92401,,,
11583,98549,,,
11612,96113,,,
11830,97823,,,
12646,f3c620051320a1fd80c721a20efd2310d95e35fb,,,
12958,96576,,,
13439,95541,,,
13472,96054,,,
13947,91945,,,
14014,74777,,,
14245,51167,,,
14485,434389bd930d4e7b17a2099a1f51f092cf9f8755,,,
14724,b42c8c4de293af0b6e9c0691daa835939b54d4e1,,,
14917,91603,,,
14968,93155,,,
15396,92965,,,
15419,92945,,,
15776,91661,,,
15778,92070,,,
16290,90399,,,
16693,92092,,,
16882,90031,,,
16983,89607,,,
17042,90964,,,
17117,90498,,,
17291,89965,,,
17411,90911,,,
17650,90640,,,
17925,89039,,,
18508,89750,,,
18776,10914,,,
19088,88823,,,
19249,88521,,,
19361,88508,,,
19729,86598,,,
19996,59397,,,
20053,87775,,,
20120,86374,,,
23220,83397,,,
23266,I5dd8fe99704ffac66ac3384b62849fa8162ca82d,,,
27341,101825,,,
27342,If16210f1b92e389dae8b1057a2d911122c31e2db,,,
28850,Ie6194f3c430cb6513367a3cdf221a41d60a1ed14,,,
29871,109476,,,
40771,I9d0cd625734fda88a9564d4fef7b1f5e9f22c774,,,
41506,a5be47714e5a ,,,
42711,29005,,,
45259,56313,,,
46483,52676,,,
48303,29241,,,
48356,I75c6c20e0c9e94ff1ddc336083953a9a2f472fe5,,,
50179,50330,,,
56991,41741,,,
65416,23537,,,
68086,22988,,,
71067,24659,,,
72405,22930,,,
80317,12861,,,
82157,Ie50388e4,,,
82764,If40140aa570e2043bd6c05ee2aa390f6ac29ac72,,,
86280,I1169f6859810da38d93a8d3e9e9d97e354bedf0b,,,
92731,110813,,,
92749,106473,,,
92765,110479,,,
92877,106687,,,
92920,109489,,,
92939,108983,,,
93045,108423,,,
93076,I348f4985c268fabec9cc53424aea5adc2bfd1e46,,,
93080,108167,,,
93114,108119,,,
93155,88364,,,
93179,104588,,,
93184,107737,,,
93189,107030,,,
93191,30b7b00d71ea7d77deaf17fcf39a2705216738e9,,,
93234,106813,,,
93238,105171,,,
93242,107390,,,
93254,107296,,,
93287,105499,,,
93321,106099,,,
93449,105744,,,
93455,105445,,,
93472,92771,,,
93493,102798,,,
93526,94640,,,
93573,98389,,,
93583,103759,,,
93596,105391,,,
93599,101479,,,
93644,104830,,,
93690,102562,,,
93900,103964,,,
93954,103801,,,
93993,100702,,,
94009,103487,,,
94052,93251,,,
94266,101098,,,
94268,98182,,,
94291,101654,,,
94346,100251,,,
94350,101196,,,
94364,91748,,,
94371,100845,,,
94381,99699,,,
94382,100845,,,
94392,97659,,,
94418,100684,,,
94551,99475,,,
94559,99887,,,
94562,93945,,,
94579,82370,,,
94588,99756,,,
94600,99648,,,
94658,99138,,,
94687,95402,,,
94708,112233,,,
94734,98682,,,
94806,92934,,,
94813,97569,,,
95582,22577,,,
95851,82170,,,
95875,97253,,,
96011,96819,,,
96148,96105,,,
96197,95711,,,
96205,95751,,,
96262,93932,,,
96289,94812,,,
96311,95027,,,
96318,93932,,,
96333,I11a7a73517cddb8f69db6270181f92c9674f9367,,,
96338,Icb4dca2d814aebb1d55881a38294c955c515e1a4,,,
96375,94271,,,
