Training_Id,File
88402,src/widgets/itemviews/qtreeview.cpp
80792,examples/video/qmlvideofx/qml/qmlvideofx/EffectIsolate.qml
75227,src/organizer/qorganizeritemdetail.cpp
80792,src/plugins/pulseaudio/qaudioinput_pulse.cpp
17992,src/qml/qml/qqmlcontextwrapper.cpp
43778,src/styles/images/720x1280/white/00_toolbar_button_ef.9.sci
62360,src/declarative/qml/qdeclarativeproperty.cpp
43778,src/styles/images/source/720x1280-normalizedNames/00_fast_scroll_rollover_bg_focus.png
80792,src/multimedia/qmediaserviceprovider.cpp
39505,src/uml/qumlremovestructuralfeaturevalueaction.cpp
80792,src/multimedia/audio/qaudiooutput_mac_p.cpp
80792,src/plugins/gstreamer/camerabin/camerabinfocus.cpp
80792,examples/spectrum/app/tonegenerator.cpp
43778,src/styles/images/source/720x1280-normalizedNames/default/00_more_popup_press.9.sci
109292,tests/auto/gui/image/qimagereader/images/image_100dpi.tif
43778,src/styles/images/source/720x1280-normalizedNames/black/00_picker_button_press_ef.9.png
57002,src/uml/qcentralbuffernode.h
59863,src/plugins/projectexplorer/kit.cpp
80792,src/plugins/directshow/player/directshowsamplescheduler.h
39505,src/uml/qumlstateinvariant.cpp
57002,src/uml/qvaluespecificationaction.h
43778,src/styles/images/source/720x1280-normalizedNames/00_list_group_press_bg_top.9.png
85184,src/organizer/qorganizermanagerengine.cpp
43778,src/styles/images/source/720x1280-normalizedNames/default/00_picker_button_dim_ef.9.sci
92158,src/libs/qmljs/qmljsinterpreter.h
43778,src/styles/images/source/720x1280-normalizedNames/white/pd_btn_bg.9.sci
43778,src/styles/images/720x1280/00_groupedlist_top_bg_press.9.png
87248,tests/auto/qbluetoothtransfermanager/qbluetoothtransfermanager.pro
109292,tests/auto/gui/painting/qpainter/drawPixmap_rop/res/res_NotOrROP0.png
53953,src/multimedia/audio/qaudiodeviceinfo_alsa_p.h
80792,src/plugins/pulseaudio/qpulseaudioplugin.cpp
57002,src/uml/qassociation.h
55435,src/lib/buildgraph/rulegraph.h
43778,src/styles/images/720x1280/default/00_button_01_ef_dim.png
43778,src/styles/images/720x1280/white/00_contacts_button_bg_press_ef.9.png
27724,src/libs/utils/logging.h
80792,tests/auto/integration/qsoundeffect/tst_qsoundeffect.cpp
108122,src/plugins/imageformats/ico/main.cpp
108122,tests/auto/gui/image/image.pro
57002,src/uml/qexpansionregion.cpp
78878,src/plugins/platforms/windows/qwindowsaccessibility.cpp
43778,src/styles/images/720x1280/default/00_panel_handle_bg_ef_press.9.sci
109292,tests/auto/gui/painting/qpainter/drawPixmap_rop/res/res_NotOrROP1.png
80378,doc/src/overview/creator-issues.qdoc
