Id,Title,Message,Time,Time_diff
1,Merge remote-tracking branch 'origin/5.4' into dev,"Merge remote-tracking branch 'origin/5.4' into dev

Change-Id: I7db3f66a1ac98d32a206c288b53151ad0a249944
",13/2/2015 12:11:01,70
2,Android: availableTimeZoneIds returns QList not QSet,"Android: availableTimeZoneIds returns QList not QSet

Fixes error: invalid covariant return type

Change-Id: I5b5fead1b48c2502ae40bc9cd181939444ff715a
",20/2/2015 11:08:01,0
3,Examples: update license headers,"Examples: update license headers

Change-Id: I41096c464db4e1513db1d4ffe7311be3c902d973
",5/2/2015 14:18:47,94
4,Docs: update license headers,"Docs: update license headers

Change-Id: I2c181d880e88c16a169c87b9260423db093d9ce8
",5/2/2015 14:18:47,94
5,ClearCase: Fix not detecting that a file is already checked out,"ClearCase: Fix not detecting that a file is already checked out

ClearCase violates POSIX since it gives a file a new inode when
checked out. This gives QtCreator problems with noticing that
a file has changed permissions to writeable and thus it will
insist on trying to check out the file again in some cases.

Change-Id: Ia3f621daff258b3ea5d9ff4f5cec7629ca46e6bd
",2/1/2015 12:20:11,123
6,"doc: clarify that macextra is OSX only, it is skipped on iOS","doc: clarify that macextra is OSX only, it is skipped on iOS

Change-Id: I0a02bb7c0b6eb33647db3c1b2e8becffe26d8410
",28/10/2014 09:26:48,27
7,Remove Qt version checks.,"Remove Qt version checks.

Qt 5.3 is the minimum requirement these days. Remove all fallback code
from sources and project files.

Change-Id: If6188a471197acadda4d6baee71804ba1a8026c6
Reviewed-by: Eike Ziller <eike.ziller@digia.com>",29/8/2014 12:24:11,3
8,Add qtwebchannel as submodule,"Add qtwebchannel as submodule

Change-Id: I9f3564c78d08abdca73ce395f31b3031a829e502
",22/7/2014 18:10:29,12
9,Use runtime check instead of ifdef to detect ES3 in QVertexArrayObjectHelper,"Use runtime check instead of ifdef to detect ES3 in QVertexArrayObjectHelper

The code path in QOpenGLVertexArrayObjectPrivate::create() that triggers
the creation of a QVertexArrayObjectHelper is guarded by runtime checks
for ES3 or the GL_OES_vertex_array_object extension, but the actual
function lookup was ifdef'ed, which broke on iOS where the SDK may
support ES3, but an older (supported) runtime target might not.

Change-Id: Id578667c1f5aebf53e197f3a79eb2f9273fea487
",30/7/2014 11:26:14,1
10,Stabilize tst_QMenu::statusTip().,"Stabilize tst_QMenu::statusTip().

Instantiate the timer on the stack to prevent it from
interfering with other tests.

Change-Id: I91ffe23b502fcddaeb6d6d3f89ea3d27b083cdb0
",14/7/2014 07:15:20,0
